timestamp,open,high,low,close,volume
2018-01-26 14:54:00,104.2300,104.2300,104.2300,104.2300,200
2018-01-26 14:53:00,104.2300,104.2500,104.2100,104.2100,800
2018-01-26 14:51:00,104.2000,104.2500,104.1900,104.2500,7000
2018-01-26 14:50:00,104.3000,104.3200,104.2000,104.2400,3825
2018-01-26 14:49:00,104.3000,104.3000,104.2900,104.3000,498
2018-01-26 14:48:00,104.2800,104.2800,104.2500,104.2500,700
2018-01-26 14:47:00,104.2400,104.2500,104.2400,104.2500,600
2018-01-26 14:46:00,104.1800,104.2600,104.1800,104.2300,1600
2018-01-26 14:45:00,104.2300,104.2300,104.1800,104.1800,4200
2018-01-26 14:44:00,104.2400,104.2600,104.2400,104.2500,1300
2018-01-26 14:42:00,104.1300,104.1600,104.1300,104.1600,600
2018-01-26 14:41:00,104.1200,104.1400,104.1200,104.1300,700
2018-01-26 14:40:00,104.1500,104.1600,104.1000,104.1000,3789
2018-01-26 14:39:00,104.1600,104.1900,104.1510,104.1510,2700
2018-01-26 14:38:00,104.1201,104.1447,104.1201,104.1447,200
2018-01-26 14:37:00,104.1200,104.1500,104.1100,104.1350,2078
2018-01-26 14:36:00,104.1250,104.1500,104.1250,104.1400,2216
2018-01-26 14:35:00,104.0900,104.1100,104.0900,104.1100,20500
2018-01-26 14:34:00,104.0600,104.1100,104.0600,104.1000,2500
2018-01-26 14:33:00,104.0400,104.0500,104.0000,104.0410,952
2018-01-26 14:32:00,103.9784,104.0400,103.9750,104.0400,3515
2018-01-26 14:31:00,103.9500,103.9900,103.9500,103.9900,3623
2018-01-26 14:30:00,103.9000,103.9590,103.9000,103.9300,2945
2018-01-26 14:29:00,103.9200,103.9700,103.8800,103.9100,20762
2018-01-26 14:28:00,103.9450,103.9450,103.9200,103.9400,600
2018-01-26 14:27:00,103.9550,103.9600,103.9000,103.9600,2300
2018-01-26 14:26:00,103.9700,104.0200,103.9500,103.9500,4239
2018-01-26 14:25:00,104.0400,104.0400,103.9500,103.9700,5025
2018-01-26 14:24:00,104.0900,104.0900,104.0500,104.0500,10946
2018-01-26 14:23:00,104.0100,104.0800,104.0100,104.0768,1539
2018-01-26 14:22:00,104.0100,104.0300,103.9800,104.0100,2976
2018-01-26 14:21:00,103.9900,104.0300,103.9845,104.0300,2780
2018-01-26 14:20:00,103.9800,104.0100,103.9700,103.9900,2247
2018-01-26 14:19:00,103.9600,103.9900,103.9500,103.9900,3069
2018-01-26 14:18:00,104.0210,104.0400,103.8800,103.9200,4395
2018-01-26 14:17:00,104.0700,104.0700,104.0300,104.0400,1820
2018-01-26 14:16:00,104.0500,104.0900,104.0500,104.0500,1000
2018-01-26 14:15:00,104.0400,104.0500,104.0400,104.0500,719
2018-01-26 14:14:00,104.0400,104.0450,104.0300,104.0300,2236
2018-01-26 14:13:00,104.0400,104.0600,104.0400,104.0500,4744
2018-01-26 14:12:00,104.0600,104.0600,104.0400,104.0400,200
2018-01-26 14:11:00,104.0100,104.0600,104.0000,104.0600,1600
2018-01-26 14:10:00,104.0100,104.0100,103.9800,104.0100,3020
2018-01-26 14:09:00,104.0300,104.0500,103.9700,103.9750,4100
2018-01-26 14:08:00,104.0700,104.0700,104.0300,104.0300,1860
2018-01-26 14:07:00,104.0800,104.0800,104.0600,104.0720,600
2018-01-26 14:06:00,104.0600,104.0800,104.0600,104.0800,1100
2018-01-26 14:05:00,104.0800,104.0800,104.0800,104.0800,400
2018-01-26 14:04:00,104.0700,104.0900,104.0500,104.0900,1300
2018-01-26 14:03:00,104.0700,104.0700,104.0700,104.0700,100
2018-01-26 14:02:00,104.1300,104.1300,104.1000,104.1000,900
